"Cite as: CAIT Climate Data Explorer. 2017. Washington, DC: World Resources Institute. Available online at: http://cait.wri.org.  Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2016, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, ©OECD/IEA, 2016.",,,,,,,,,,,,,,,,,,,,,
,,Total GHG,,Emissions by Gas excluding LUCF,,,,Emissions by Gas including LUCF,,,Emissions by Sector,,,,,,Emissions by Energy Sub-Sector,,,,
Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?),Total CO2 (excluding Land-Use Change and Forestry) (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Total CO2 (including Land-Use Change and Forestry) (MtCO2),Total CH4 (including Land-Use Change and Forestry) (MtCO2e),Total N2O (including Land-Use Change and Forestry) (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Afghanistan,1990,15.21284765,15.21284765,2.915024,9.311588607,2.98405482,0.002180228,2.915024,9.311588607,2.98405482,3.774043903,0.057140228,7.3427099,4.038953624,0,,,,,,1.242219903
Afghanistan,1991,15.28643902,15.28643902,2.684445333,9.516186524,3.082194099,0.00361306,2.684445333,9.516186524,3.082194099,3.376802897,0.05857306,7.6310272,4.220035859,0,,,,,,1.020850897
Afghanistan,1992,14.01053087,14.01053087,1.392268964,9.571483041,3.041732978,0.005045892,1.392268964,9.571483041,3.041732978,1.914300188,0.063669892,7.6314427,4.401118095,0,,,,,,0.602588188
Afghanistan,1993,14.02811754,14.02811754,1.322704,9.609868957,3.089065857,0.006478724,1.322704,9.609868957,3.089065857,1.678072885,0.065102724,7.7027416,4.58220033,0,,,,,,0.413992885
Afghanistan,1994,13.98540757,13.98540757,1.267744,9.789039374,2.920712637,0.007911556,1.267744,9.789039374,2.920712637,1.456450546,0.066535556,7.6991389,4.763282565,0,,,,,,0.247330546
Afghanistan,1995,14.33493659,14.33493659,1.220112,10.05781409,3.047666116,0.009344387,1.220112,10.05781409,3.047666116,1.242156207,0.067968387,8.0804473,4.944364801,0,,,,,,0.080668207
Afghanistan,1996,15.32321115,15.32321115,1.15416,10.86479836,3.286951591,0.017301205,1.15416,10.86479836,3.286951591,1.179520789,0.075925205,8.9693498,5.098415261,0,,,,,,0.083984789
Afghanistan,1997,16.28452661,16.28452661,1.069888,11.57810283,3.611277766,0.025258022,1.069888,11.57810283,3.611277766,1.098565371,0.083882022,9.8496135,5.252465722,0,,,,,,0.087301371
Afghanistan,1998,17.12443588,17.12443588,1.014928,12.15518779,3.921105241,0.033214839,1.014928,12.15518779,3.921105241,1.046921953,0.091838839,10.5791589,5.406516182,0,,,,,,0.090617953
Afghanistan,1999,18.00055534,18.00055534,0.798752,12.95022606,4.210405616,0.041171657,0.798752,12.95022606,4.210405616,0.834062536,0.099795657,11.5061305,5.560566643,0,,,,,,0.093934536
Afghanistan,2000,16.496011,16.496011,0.75112,12.02792573,3.667836791,0.049128474,0.75112,12.02792573,3.667836791,0.822723118,0.074776474,9.8838943,5.714617104,0,,,,,,0.097251118
Afghanistan,2001,15.20942187,15.20942187,0.795088,11.09931125,3.250581129,0.064441495,0.795088,11.09931125,3.250581129,0.850430525,0.090089495,8.3734948,5.895407054,0,,,,,,0.080990525
Afghanistan,2002,17.69909435,17.69909435,1.069888,12.76730887,3.782142967,0.079754515,1.069888,12.76730887,3.782142967,1.105305932,0.109066515,10.4085249,6.076197004,0,,,,,,0.064729932
Afghanistan,2003,18.43043903,18.43043903,1.194464,13.15625329,3.984654206,0.095067536,1.194464,13.15625329,3.984654206,1.206293339,0.131707536,10.8354511,6.256986954,0,,,,,,0.048469339
Afghanistan,2004,18.15134691,18.15134691,0.948976,13.19191001,3.900080344,0.110380557,0.948976,13.19191001,3.900080344,0.944544746,0.147020557,10.6220046,6.437776904,0,,,,,,0.032208746
Afghanistan,2005,18.98469798,18.98469798,1.326368,13.46239633,4.070240082,0.125693578,1.326368,13.46239633,4.070240082,1.313004153,0.155005578,10.8981215,6.618566854,0,,,,,,0.015948153
Afghanistan,2006,19.62292343,19.62292343,1.652464,13.77646274,4.048482656,0.145514034,1.652464,13.77646274,4.048482656,1.643197676,0.171162034,10.9934743,6.81508942,0,,,,,,0.016381676
Afghanistan,2007,20.39894648,20.39894648,2.268016,14.09139606,3.87419993,0.165334491,2.268016,14.09139606,3.87419993,2.2701752,0.179990491,10.9371688,7.011611986,0,,,,,,0.0168152
Afghanistan,2008,23.63001132,23.63001132,4.202608,15.11110067,4.131147704,0.185154947,4.202608,15.11110067,4.131147704,4.201536723,0.203474947,12.0168651,7.208134552,0,,,,,,0.017248723
Afghanistan,2009,26.94285547,26.94285547,6.763744,15.46784649,4.506289578,0.204975403,6.763744,15.46784649,4.506289578,6.766770246,0.219631403,12.5517967,7.404657117,0,,,,,,0.017682246
Afghanistan,2010,30.62955881,30.62955881,8.452848,16.9687923,4.983122652,0.22479586,8.452848,16.9687923,4.983122652,8.45264377,0.24311586,14.3326195,7.601179683,0,,,,,,0.01811577
Afghanistan,2011,34.71300694,34.71300694,12.230432,17.14663374,5.085866393,0.250074812,12.230432,17.14663374,5.085866393,12.23069971,0.268394812,14.4067981,7.807114323,0,,,,,,0.018587706
Afghanistan,2012,34.50159007,34.50159007,10.746512,17.22177877,6.257945533,0.275353764,10.746512,17.22177877,6.257945533,10.74725164,0.293673764,15.4476157,8.013048962,0,,,,,,0.019059642
Afghanistan,2013,33.1709203,33.1709203,10.006384,17.34005971,5.523843873,0.300632717,10.006384,17.34005971,5.523843873,10.00026758,0.326280717,14.6253884,8.218983601,0,,,,,,0.019531578
Afghanistan,2014,33.36614812,33.36614812,9.8012,17.75041984,5.488616613,0.325911669,9.8012,17.75041984,5.488616613,9.769907515,0.377207669,14.7941148,8.424918241,0,,,,,,0.020003515
Albania,1990,11.69196461,11.83611541,6.043728,4.108368808,1.536325687,0.003542118,6.1648788,4.121368808,1.546325687,7.498514606,0.388430118,3.2514396,0.553580288,0.1441508,0,0.73,2.14,0.71,3.135539643,0.782974963
Albania,1991,9.11895917,9.26310997,4.110448,3.828129296,1.176905909,0.003475966,4.2315988,3.841129296,1.186905909,5.32307969,0.315083966,2.9221154,0.558680114,0.1441508,0,0.54,1.41,0.53,2.194365268,0.638714422
Albania,1992,6.870510528,7.014661328,2.238928,3.512486383,1.115686331,0.003409814,2.3600788,3.525486383,1.125686331,3.337644774,0.113497814,2.855588,0.56377994,0.1441508,0,0.41,0.76,0.41,1.273190893,0.494453881
Albania,1993,6.596969186,6.741119986,2.078928,3.331065071,1.183632453,0.003343662,2.2000788,3.344065071,1.193632453,2.862209858,0.113431662,3.052448,0.568879765,0.1441508,0,0.54,0.54,0.51,0.922016519,0.35019334
Albania,1994,7.13817491,7.28232571,2.136002667,3.577997458,1.420897275,0.00327751,2.257153467,3.590997458,1.430897275,2.651481609,0.06573351,3.8469802,0.573979591,0.1441508,0,0.61,0.46,0.63,0.690842144,0.260639465
Albania,1995,6.694674401,6.838825201,1.948928,3.331045846,1.411489197,0.003211358,2.0700788,3.344045846,1.421489197,2.101340026,0.113299358,3.9009556,0.579079417,0.1441508,0,0.4,0.49,0.63,0.519667769,0.061672257
